t,Demand,Power Output of CCGT+Coal+OCGT+Wind+Solar,Power Output of CCGT+Coal+OCGT+Wind,Power Output of CCGT+Coal+OCGT,Power Output of CCGT+Coal,Power Output of CCGT
532,52623.211,52623.211,52623.211,11536.48176,11536.48176,11536.48176
533,51269.773,51269.773,51269.773,9855.014877,9855.014877,9855.014877
534,50285.762,50285.762,50285.762,8518.252975,8518.252975,8518.252975
535,49993.651,49993.651,49966.03456,7845.254778,7845.254778,7845.254778
536,48910.564,48910.564,48910.564,6689.56761,6689.56761,6689.56761
537,47582.286,47582.286,47582.286,5260.553148,5260.553148,5260.553148
538,46746.056,46746.056,46746.056,4223.139032,4223.139032,4223.139032
539,46141.57,46141.57,46141.57,3416.8913,3416.8913,3416.8913
540,46279.355,46279.355,46279.355,3845.853195,3845.853195,3845.853195
541,46986.436,46986.436,46958.81956,4815.974796,4815.974796,4815.974796
542,49189.823,49189.823,49189.823,7805.332025,7805.332025,7805.332025
543,51169.864,51169.864,51169.864,10543.09144,10543.09144,10543.09144
544,54211.266,54211.266,54211.266,13976.63784,13976.63784,13976.63784
545,56100.629,56100.629,56093.72489,16250.72128,16250.72128,16250.72128
546,59617.3,59617.3,59348.09452,19556.32557,19556.32557,19556.32557
547,63473.223,63473.223,62941.71615,23200.71976,23200.71976,23200.71976
548,66180.456,66180.456,65131.25052,24355.85702,24355.85702,24355.85702
549,67436.739,67436.739,65876.84859,24066.53812,24066.53812,24066.53812
550,68276.539,68276.539,65764.21023,22124.29688,22124.29688,22124.29688
551,68214.506,68214.506,64749.90326,19279.8094,19279.8094,19279.8094
552,68125.613,68125.613,63874.38012,16208.70503,16208.70503,16208.70503
553,67848.632,67848.632,62817.72789,12955.89396,12955.89396,12955.89396
554,67405.391,67405.391,62216.02114,10108.29551,10108.29551,10108.29551
555,67014.204,67014.204,61673.2177,7318.907229,7318.907229,7318.907229
556,66349.283,66349.283,61049.94053,5295.543422,5295.543422,5295.543422
557,65806.949,65806.949,60549.19558,3394.01868,3394.01868,3394.01868
558,65540.032,65540.032,60924.19638,3265.221654,3265.221654,3265.221654
559,64954.025,64954.025,60979.9976,2816.474137,2816.474137,2816.474137
560,64979.338,64979.338,61860.98184,4796.664146,4796.664146,4796.664146
561,65436.23,65436.23,63173.43548,7207.630425,7207.630425,7207.630425
562,66554.83,66554.83,65092.36425,8976.14764,8976.14764,8976.14764
563,69554.361,69554.361,68892.11442,12624.79313,12624.79313,12624.79313
564,74386.135,74386.135,74386.135,17690.79926,17690.79926,17690.79926
565,76203.401,76203.401,76175.78456,19051.68348,19051.68348,19051.68348
566,75625.792,75625.792,75625.792,16963.03388,16963.03388,16963.03388
567,74253.841,74253.841,74226.27936,14024.11329,14024.11329,14024.11329
568,71266.278,71266.278,71266.278,10345.84479,10345.84479,10345.84479
569,68868.173,68868.173,68840.61136,7201.217854,7201.217854,7201.217854
570,66725.34,66725.34,66725.34,4380.32917,4380.32917,4380.32917
571,64965.398,64965.398,64937.83636,1886.515057,1886.515057,1886.515057
572,62214.594,63655.8556,63655.8556,0,0,0
573,59460.424,64261.25632,64261.25632,0,0,0
574,56922.902,64878.44043,64878.44043,0,0,0
575,55015.145,65496.37545,65496.37545,0,0,0
576,52022.465,66126.09386,66126.09386,0,0,0
577,50321.275,66756.62094,66756.62094,0,0,0
578,49898.128,64547.00361,64547.00361,0,0,0
579,50183.728,64662.47861,64634.91697,0,0,0
580,49456.604,64848.23105,64848.23105,0,0,0
581,47883.033,65089.91543,65062.35379,0,0,0
582,46732.677,65035.84116,65035.84116,0,0,0
583,46519.463,65037.75659,65010.19495,0,0,0
584,45703.327,64441.18412,64441.18412,0,0,0
585,44598.31,63900.48583,63872.92419,0,0,0
586,43851.024,62912.7509,62912.7509,0,0,0
587,43305.256,61980.94793,61953.38628,0,0,0
588,43172.656,61485.34296,61485.34296,0,0,0
589,43401.136,61045.66995,61018.1083,0,0,0
590,44657.47,59553.38628,59553.38628,0,0,0
591,45643.402,58206.56585,58089.41516,0,0,0
592,47390.135,56877.11191,56877.11191,0,0,0
593,48407.993,55693.06345,55665.50181,0,0,0
594,51456.348,55056.90203,54705.55957,0,0,0
595,55102.627,55102.627,54420.5996,674.2313717,674.2313717,674.2313717
596,58387.826,58387.826,56555.38764,3201.163817,3201.163817,3201.163817
597,60850.072,60850.072,57860.48296,4897.710396,4897.710396,4897.710396
598,62868.941,62868.941,58687.79032,5461.046633,5461.046633,5461.046633
599,63700.394,63700.394,58320.94195,4829.649526,4829.649526,4829.649526
600,64659.5,64659.5,58061.14384,4671.800875,4671.800875,4671.800875
601,65363.334,65363.334,57546.18332,4258.096672,4258.096672,4258.096672
602,66065.485,66065.485,58269.32062,6104.988486,6104.988486,6104.988486
603,66149.567,66149.567,58374.38892,7333.11816,7333.11816,7333.11816
604,65731.469,65731.469,58466.20873,9456.937968,9456.937968,9456.937968
605,65150.46,65150.46,58395.06274,11417.09884,11417.09884,11417.09884
606,65300.06,65300.06,59123.34767,14782.72673,14782.72673,14782.72673
607,65283.366,65283.366,59685.3386,17981.48301,17981.48301,17981.48301
608,65958.64,65958.64,61579.51671,22235.28567,22235.28567,22235.28567
609,67208.327,67208.327,64054.95714,27069.88854,27069.88854,27069.88854
610,69400.239,69400.239,67438.04722,32207.02917,32207.02917,32207.02917
611,72443.681,72443.681,71672.61251,38195.1829,38195.1829,35000
612,77460.602,67460.602,67460.602,35144.24099,35144.24099,35000
613,78784.222,78784.222,78749.81104,47594.11429,47594.11429,35000
614,78554.246,78554.246,78554.246,48307.31459,48307.31459,35000
615,76868.118,76868.118,76840.61115,47502.04075,47502.04075,35000
616,75912.565,75912.565,75912.565,47179.97294,47179.97294,35000
617,73482.381,73482.381,73454.87415,45327.91386,45327.91386,35000
618,71771.025,71771.025,71771.025,44300.41128,44300.41128,35000
619,69139.272,69139.272,69022.2857,42207.72974,42207.72974,35000
620,66977.773,66977.773,66977.773,40869.98961,40869.98961,35000
621,63595.232,63595.232,63567.72515,38166.42551,38166.42551,35000
622,60802.217,60802.217,60802.217,36145.52386,36145.52386,35000
623,57575.855,57575.855,57458.8687,33546.43549,33546.43549,33546.43549
624,54023.637,54023.637,54023.637,30780.14242,30780.14242,30780.14242
625,52031.747,52031.747,52031.747,29456.78671,29456.78671,29456.78671
626,52055.343,52055.343,52055.343,30615.80509,30615.80509,30615.80509
627,52881.781,55572.71734,55455.73104,33940.69855,33940.69855,33940.69855
628,52945.701,52945.701,52945.701,31733.74432,31733.74432,31733.74432
629,51956.505,51956.505,51928.99815,31019.82848,31019.82848,31019.82848
630,51362.015,51362.015,51362.015,30566.75146,30566.75146,30566.75146
631,51595.561,55709.15306,55681.64621,35000,35000,35000
632,51004.437,51004.437,51004.437,30411.51281,30411.51281,30411.51281
633,50216.776,50216.776,50189.26915,29684.72041,29684.72041,29684.72041
634,49691.153,49691.153,49691.153,29451.78838,29451.78838,29451.78838
635,49797.046,49797.046,49769.53915,29795.1276,29795.1276,29795.1276
636,50882.156,54696.63538,54696.63538,35000,35000,35000
637,53300.899,54446.5971,54419.09025,35000,35000,35000
638,59334.165,59334.165,59334.165,40054.10724,40054.10724,35000
639,65647.948,65647.948,65620.44115,46479.24259,46479.24259,35000
640,73181.175,73181.175,73181.175,54216.90063,54216.90063,35000
641,76236.534,76236.534,76195.27373,57407.63474,57407.63474,35000
642,77807.113,77807.113,77277.68834,58742.58365,58742.58365,35000
643,78275.854,78275.854,77258.26496,58975.46351,58975.46351,35000
644,79928.747,79928.747,77914.33604,59947.08694,59947.08694,35000
645,80432.78,80432.78,77421.60192,59769.67412,59769.67412,35000
646,80535.375,80535.375,76582.49829,59321.79071,59321.79071,35000
647,80698.422,80698.422,75797.05214,58927.27596,58927.27596,35000
648,80762.393,80762.393,75283.81766,58906.11369,58906.11369,35000
649,80458.501,80458.501,74402.77497,58516.85439,58516.85439,35000
650,80599.737,80599.737,74214.31234,58568.27624,58568.27624,35000
651,80114.438,80114.438,73392.52019,57986.07976,57986.07976,35000
652,79689.625,79689.625,73421.57021,58343.27418,58343.27418,35000
653,79379.018,79379.018,73564.82622,58814.38579,58814.38579,35000
654,79466.5,79453.99357,74258.54152,60000,60000,35000
655,79147.495,78350.37456,73766.75812,60000,60000,35000
656,79098.909,77106.9959,73375.65343,60000,60000,35000
657,80056.451,78056.451,75170.4236,62185.64382,60000,35000
658,81341.532,79341.532,77472.60049,64740.18172,60000,35000
659,83453.034,78662.78892,77810.78892,65330.55787,60000,35000
660,86201.118,84201.118,84201.118,71796.78587,60000,35000
661,87592.041,85592.041,85585.19168,73256.58519,60000,35000
662,86908.556,84908.556,84908.556,72554.93867,60000,35000
663,87506.667,85506.667,85506.667,73127.92332,60000,35000
664,86221.841,84221.841,84221.841,71855.92042,60000,35000
665,84211.404,82211.404,82211.404,69858.191,60000,35000
666,81487.069,72277.31408,72277.31408,60000,60000,35000
667,78542.703,76542.703,76542.703,64341.05679,60000,35000
668,74996.979,72996.979,72996.979,61072.87792,60000,35000
669,70784.413,70784.413,70784.413,59137.68376,59137.68376,35000
670,66936.31,66936.31,66936.31,55428.43996,55428.43996,35000
671,62923.596,62923.596,62923.596,51554.46965,51554.46965,35000
672,58588.375,58588.375,58588.375,47295.0898,47295.0898,35000
